,Bussiness__City,Bussiness__Country,Bussiness__Description,Bussiness__Name,Bussiness__StreetAddress,Bussiness__Zipcode,Customer__Address__line1,Customer__Address__line2,Customer__Email,Customer__Name,Customer__PhoneNumber,Invoice__Description,Invoice__DueDate,Invoice__IssueDate,Invoice__Number,Invoice__Tax,Invoice__BillDetails__Name,Invoice__BillDetails__Quantity,Invoice__BillDetails__Rate
0,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,7470 DuBuque Plaza ,Oranjestad ,Kerry_Bergnaum@yahoo.com,Kerry Bergnaum,189-052-5595,eiusmod dolor tempor et velit laboris labore ipsum anim voluptate ,14-06-2023 ,12-05-2023,TG04EM6808839862502629422968,10,Practical Granite Keyboard  ,22  ,48  
1,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,7470 DuBuque Plaza ,Oranjestad ,Kerry_Bergnaum@yahoo.com,Kerry Bergnaum,189-052-5595,eiusmod dolor tempor et velit laboris labore ipsum anim voluptate ,14-06-2023 ,12-05-2023,TG04EM6808839862502629422968,10,Tasty Wooden Shoes  ,120  ,75  
2,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,7470 DuBuque Plaza ,Oranjestad ,Kerry_Bergnaum@yahoo.com,Kerry Bergnaum,189-052-5595,eiusmod dolor tempor et velit laboris labore ipsum anim voluptate ,14-06-2023 ,12-05-2023,TG04EM6808839862502629422968,10,Unbranded Metal Hat  ,118  ,61  
0,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,533 Hintz Pine Cotton ,Ground ,Candace3@yahoo.com,Candace Gerhold,633-008-6596,aliqua proident nisi cupidatat pariatur ,17-06-2023 ,12-05-2023,CG4125256047356140683317976,10,Handmade Soft Keyboard  ,64  ,24  
1,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,533 Hintz Pine Cotton ,Ground ,Candace3@yahoo.com,Candace Gerhold,633-008-6596,aliqua proident nisi cupidatat pariatur ,17-06-2023 ,12-05-2023,CG4125256047356140683317976,10,Tasty Concrete Pizza  ,78  ,26  
2,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,533 Hintz Pine Cotton ,Ground ,Candace3@yahoo.com,Candace Gerhold,633-008-6596,aliqua proident nisi cupidatat pariatur ,17-06-2023 ,12-05-2023,CG4125256047356140683317976,10,Ergonomic Wooden Towels  ,75  ,73  
3,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,533 Hintz Pine Cotton ,Ground ,Candace3@yahoo.com,Candace Gerhold,633-008-6596,aliqua proident nisi cupidatat pariatur ,17-06-2023 ,12-05-2023,CG4125256047356140683317976,10,Unbranded Plastic Chips  ,51  ,16  
4,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,533 Hintz Pine Cotton ,Ground ,Candace3@yahoo.com,Candace Gerhold,633-008-6596,aliqua proident nisi cupidatat pariatur ,17-06-2023 ,12-05-2023,CG4125256047356140683317976,10,Rustic Cotton Soap  ,87  ,76  
5,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,533 Hintz Pine Cotton ,Ground ,Candace3@yahoo.com,Candace Gerhold,633-008-6596,aliqua proident nisi cupidatat pariatur ,17-06-2023 ,12-05-2023,CG4125256047356140683317976,10,Fantastic Cotton Car  ,12  ,64  
6,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,533 Hintz Pine Cotton ,Ground ,Candace3@yahoo.com,Candace Gerhold,633-008-6596,aliqua proident nisi cupidatat pariatur ,17-06-2023 ,12-05-2023,CG4125256047356140683317976,10,Generic Metal Shoes  ,83  ,12  
7,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,533 Hintz Pine Cotton ,Ground ,Candace3@yahoo.com,Candace Gerhold,633-008-6596,aliqua proident nisi cupidatat pariatur ,17-06-2023 ,12-05-2023,CG4125256047356140683317976,10,Ergonomic Rubber Sausages  ,87  ,80  
0,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,8236 O'Hara Glens ,Moutsamoudou ,Zboncak@gmail.com,Cary Zboncak,741-215-8162,et officia nostrud dolore cillum ,08-07-2023 ,12-05-2023,MK11467CXXWJ5REOQ45,10,Rustic Concrete Cheese  ,122  ,45  
1,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,8236 O'Hara Glens ,Moutsamoudou ,Zboncak@gmail.com,Cary Zboncak,741-215-8162,et officia nostrud dolore cillum ,08-07-2023 ,12-05-2023,MK11467CXXWJ5REOQ45,10,Refined Soft Hat  ,56  ,39  
0,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,533 Hintz Pine Cotton ,Ground ,Candace3@yahoo.com,Candace Gerhold,633-008-6596,ad enim duis culpa deserunt cupidatat laborum reprehenderit ullamco minim commodo culpa elit do nulla aute ,12-06-2023 ,12-05-2023,EG059246723727279534566806215,10,Fantastic Wooden Table  ,55  ,46  
1,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,533 Hintz Pine Cotton ,Ground ,Candace3@yahoo.com,Candace Gerhold,633-008-6596,ad enim duis culpa deserunt cupidatat laborum reprehenderit ullamco minim commodo culpa elit do nulla aute ,12-06-2023 ,12-05-2023,EG059246723727279534566806215,10,Unbranded Cotton Pants  ,48  ,93  
0,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,8236 O'Hara Glens ,Moutsamoudou ,Zboncak@gmail.com,Cary Zboncak,741-215-8162,minim voluptate adipisicing sint eiusmod veniam duis nulla ,22-06-2023 ,12-05-2023,FO5835379396858343,10,Gorgeous Metal Keyboard  ,85  ,67  
1,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,8236 O'Hara Glens ,Moutsamoudou ,Zboncak@gmail.com,Cary Zboncak,741-215-8162,minim voluptate adipisicing sint eiusmod veniam duis nulla ,22-06-2023 ,12-05-2023,FO5835379396858343,10,Fantastic Metal Tuna  ,25  ,50  
2,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,8236 O'Hara Glens ,Moutsamoudou ,Zboncak@gmail.com,Cary Zboncak,741-215-8162,minim voluptate adipisicing sint eiusmod veniam duis nulla ,22-06-2023 ,12-05-2023,FO5835379396858343,10,Fantastic Rubber Gloves  ,113  ,69  
3,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,8236 O'Hara Glens ,Moutsamoudou ,Zboncak@gmail.com,Cary Zboncak,741-215-8162,minim voluptate adipisicing sint eiusmod veniam duis nulla ,22-06-2023 ,12-05-2023,FO5835379396858343,10,Gorgeous Frozen Shoes  ,103  ,65  
4,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,8236 O'Hara Glens ,Moutsamoudou ,Zboncak@gmail.com,Cary Zboncak,741-215-8162,minim voluptate adipisicing sint eiusmod veniam duis nulla ,22-06-2023 ,12-05-2023,FO5835379396858343,10,Intelligent Frozen Shoes  ,108  ,64  
5,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,8236 O'Hara Glens ,Moutsamoudou ,Zboncak@gmail.com,Cary Zboncak,741-215-8162,minim voluptate adipisicing sint eiusmod veniam duis nulla ,22-06-2023 ,12-05-2023,FO5835379396858343,10,Incredible Concrete Salad  ,117  ,94  
6,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,8236 O'Hara Glens ,Moutsamoudou ,Zboncak@gmail.com,Cary Zboncak,741-215-8162,minim voluptate adipisicing sint eiusmod veniam duis nulla ,22-06-2023 ,12-05-2023,FO5835379396858343,10,Tasty Fresh Fish  ,100  ,64  
7,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,8236 O'Hara Glens ,Moutsamoudou ,Zboncak@gmail.com,Cary Zboncak,741-215-8162,minim voluptate adipisicing sint eiusmod veniam duis nulla ,22-06-2023 ,12-05-2023,FO5835379396858343,10,Unbranded Cotton Gloves  ,14  ,96  
0,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,121 Jacobs River ,Port-Vila ,Don_Zulauf40@hotmail.com,Don Zulauf,110-825-4839,nostrud ea eiusmod nulla aliqua commodo ,06-07-2023 ,12-05-2023,VA79BS9703382218861658,10,Ergonomic Concrete Chair  ,104  ,52  
1,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,121 Jacobs River ,Port-Vila ,Don_Zulauf40@hotmail.com,Don Zulauf,110-825-4839,nostrud ea eiusmod nulla aliqua commodo ,06-07-2023 ,12-05-2023,VA79BS9703382218861658,10,Generic Plastic Bacon  ,13  ,98  
2,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,121 Jacobs River ,Port-Vila ,Don_Zulauf40@hotmail.com,Don Zulauf,110-825-4839,nostrud ea eiusmod nulla aliqua commodo ,06-07-2023 ,12-05-2023,VA79BS9703382218861658,10,Licensed Granite Chicken  ,88  ,38  
3,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,121 Jacobs River ,Port-Vila ,Don_Zulauf40@hotmail.com,Don Zulauf,110-825-4839,nostrud ea eiusmod nulla aliqua commodo ,06-07-2023 ,12-05-2023,VA79BS9703382218861658,10,Licensed Rubber Shoes  ,89  ,75  
4,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,121 Jacobs River ,Port-Vila ,Don_Zulauf40@hotmail.com,Don Zulauf,110-825-4839,nostrud ea eiusmod nulla aliqua commodo ,06-07-2023 ,12-05-2023,VA79BS9703382218861658,10,Practical Fresh Salad  ,62  ,28  
5,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,121 Jacobs River ,Port-Vila ,Don_Zulauf40@hotmail.com,Don Zulauf,110-825-4839,nostrud ea eiusmod nulla aliqua commodo ,06-07-2023 ,12-05-2023,VA79BS9703382218861658,10,Fantastic Frozen Chair  ,119  ,33  
6,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,121 Jacobs River ,Port-Vila ,Don_Zulauf40@hotmail.com,Don Zulauf,110-825-4839,nostrud ea eiusmod nulla aliqua commodo ,06-07-2023 ,12-05-2023,VA79BS9703382218861658,10,Awesome Plastic Bacon  ,93  ,52  
7,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,121 Jacobs River ,Port-Vila ,Don_Zulauf40@hotmail.com,Don Zulauf,110-825-4839,nostrud ea eiusmod nulla aliqua commodo ,06-07-2023 ,12-05-2023,VA79BS9703382218861658,10,Incredible Metal Fish  ,55  ,49  
0,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,121 Jacobs River ,Port-Vila ,Don_Zulauf40@hotmail.com,Don Zulauf,110-825-4839,cillum pariatur ut quis quis amet est laborum esse ut laboris ,29-06-2023 ,12-05-2023,HU09591267295510040401720839,10,Refined Plastic Mouse  ,56  ,79  
1,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,121 Jacobs River ,Port-Vila ,Don_Zulauf40@hotmail.com,Don Zulauf,110-825-4839,cillum pariatur ut quis quis amet est laborum esse ut laboris ,29-06-2023 ,12-05-2023,HU09591267295510040401720839,10,Unbranded Rubber Hat  ,42  ,42  
2,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,121 Jacobs River ,Port-Vila ,Don_Zulauf40@hotmail.com,Don Zulauf,110-825-4839,cillum pariatur ut quis quis amet est laborum esse ut laboris ,29-06-2023 ,12-05-2023,HU09591267295510040401720839,10,Fantastic Cotton Gloves  ,22  ,19  
3,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,121 Jacobs River ,Port-Vila ,Don_Zulauf40@hotmail.com,Don Zulauf,110-825-4839,cillum pariatur ut quis quis amet est laborum esse ut laboris ,29-06-2023 ,12-05-2023,HU09591267295510040401720839,10,Unbranded Cotton Chips  ,80  ,76  
4,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,121 Jacobs River ,Port-Vila ,Don_Zulauf40@hotmail.com,Don Zulauf,110-825-4839,cillum pariatur ut quis quis amet est laborum esse ut laboris ,29-06-2023 ,12-05-2023,HU09591267295510040401720839,10,Incredible Plastic Towels  ,125  ,76  
0,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,231 Jayne Fields ,Mwanza ,Ernser@yahoo.com,Terri Ernser,415-897-1517,culpa nulla adipisicing reprehenderit proident mollit ,20-06-2023 ,12-05-2023,NL21QPRB2424672182,10,Handcrafted Concrete Cheese  ,36  ,87  
1,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,231 Jayne Fields ,Mwanza ,Ernser@yahoo.com,Terri Ernser,415-897-1517,culpa nulla adipisicing reprehenderit proident mollit ,20-06-2023 ,12-05-2023,NL21QPRB2424672182,10,Handmade Cotton Hat  ,24  ,39  
2,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,231 Jayne Fields ,Mwanza ,Ernser@yahoo.com,Terri Ernser,415-897-1517,culpa nulla adipisicing reprehenderit proident mollit ,20-06-2023 ,12-05-2023,NL21QPRB2424672182,10,Rustic Steel Chips  ,76  ,58  
3,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,231 Jayne Fields ,Mwanza ,Ernser@yahoo.com,Terri Ernser,415-897-1517,culpa nulla adipisicing reprehenderit proident mollit ,20-06-2023 ,12-05-2023,NL21QPRB2424672182,10,Intelligent Soft Tuna  ,31  ,21  
4,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,231 Jayne Fields ,Mwanza ,Ernser@yahoo.com,Terri Ernser,415-897-1517,culpa nulla adipisicing reprehenderit proident mollit ,20-06-2023 ,12-05-2023,NL21QPRB2424672182,10,Practical Rubber Chips  ,126  ,48  
0,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,8236 O'Hara Glens ,Moutsamoudou ,Zboncak@gmail.com,Cary Zboncak,741-215-8162,ea culpa consequat ,25-06-2023 ,12-05-2023,GB37WFFO25512305525612,10,Rustic Metal Towels  ,81  ,38  
1,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,8236 O'Hara Glens ,Moutsamoudou ,Zboncak@gmail.com,Cary Zboncak,741-215-8162,ea culpa consequat ,25-06-2023 ,12-05-2023,GB37WFFO25512305525612,10,Unbranded Concrete Ball  ,124  ,15  
2,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,8236 O'Hara Glens ,Moutsamoudou ,Zboncak@gmail.com,Cary Zboncak,741-215-8162,ea culpa consequat ,25-06-2023 ,12-05-2023,GB37WFFO25512305525612,10,Incredible Rubber Sausages  ,62  ,82  
3,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,8236 O'Hara Glens ,Moutsamoudou ,Zboncak@gmail.com,Cary Zboncak,741-215-8162,ea culpa consequat ,25-06-2023 ,12-05-2023,GB37WFFO25512305525612,10,Gorgeous Cotton Pants  ,31  ,66  
